104.4,144.4
106.1,141.3
107.9,137.9
109.6,134.7
111.3,131.8
112.8,129.1
114.3,126.5
115.8,124.1
117.3,121.7
118.7,119.5
119.8,118.2
120.9,116.1
120.4,117.4
121.1,116.5
122.0,115.3
123.1,113.3
124.3,111.4
125.4,109.5
126.3,108.4
127.1,108.0
128.0,107.4
128.8,107.1
129.5,106.8
130.1,106.5
130.9,105.9
131.5,105.6
132.4,105.0
133.1,104.4
133.7,104.2
134.8,103.4
135.6,102.8
136.4,102.3
136.9,102.2
137.6,101.6
138.4,101.2
139.0,101.1
140.0,100.3
140.7,99.9
141.2,99.8
141.8,99.8
142.4,99.7
143.0,99.8
143.8,99.5
144.3,99.4
145.2,98.8
145.6,98.7
146.1,98.7
147.0,98.1
147.8,97.4
148.1,97.3
149.0,96.7
149.8,96.0
150.2,96.1
151.0,95.5
151.8,94.8
152.6,94.2
151.6,94.4
152.4,93.2
152.8,93.2
153.6,92.6
154.5,92.2
155.0,91.9
155.8,91.3
157.0,90.2
158.1,88.9
158.8,88.3
159.9,87.1
160.2,86.9
161.1,85.9
162.2,84.8
162.9,84.2
-10,-10
100.0,83.0
99.8,82.6
100.7,81.2
101.1,80.0
101.7,78.9
100.8,79.8
99.7,81.9
99.9,81.1
100.2,80.3
100.9,79.2
101.6,78.3
102.6,77.0
102.9,76.2
102.4,75.8
102.5,74.9
102.6,74.0
102.7,73.1
103.0,72.0
103.2,70.9
103.7,69.7
104.2,68.5
104.7,67.6
105.1,66.9
105.6,66.1
106.2,65.1
106.7,64.5
107.3,63.5
107.8,62.7
108.5,62.0
109.1,61.0
109.8,60.0
110.5,59.2
111.2,58.5
111.8,57.7
112.5,57.0
113.5,55.9
114.8,54.1
115.8,53.6
117.0,52.9
118.2,52.1
119.5,51.3
120.7,50.4
122.0,50.0
123.2,49.6
124.5,49.2
125.7,48.1
126.5,47.4
128.7,45.6
129.2,45.9
129.6,46.3
130.0,46.6
130.5,46.7
131.8,45.8
132.3,46.1
132.2,46.5
133.2,46.2
134.1,45.3
134.0,44.5
134.2,43.6
-10,-10
96.7,96.3
97.5,95.3
98.2,92.8
98.2,93.6
98.6,93.6
99.0,93.8
98.9,94.3
98.8,95.2
98.4,96.4
98.5,96.9
98.4,97.5
96.3,100.3
95.7,101.5
95.5,102.5
96.0,102.5
95.9,103.2
96.0,103.7
96.4,103.7
97.3,102.7
97.2,103.4
97.0,104.1
96.8,105.1
97.1,105.2
97.2,105.7
96.3,107.5
96.9,106.8
95.3,110.0
94.9,110.4
94.2,110.8
94.2,110.2
94.0,109.8
93.6,109.8
93.7,108.9
93.7,108.4
93.8,107.5
93.7,107.0
93.0,107.5
92.9,107.0
92.9,106.2
93.0,105.4
93.5,104.0
93.7,103.5
94.8,102.2
94.6,103.1
94.7,103.6
94.8,104.1
94.8,104.8
95.3,105.0
-10,-10
104.5,143.7
106.5,139.9
107.4,137.9
108.3,136.0
109.1,134.2
109.9,132.5
110.9,130.3
111.6,128.8
112.2,127.3
112.8,125.8
113.7,124.0
114.3,122.6
115.0,120.9
115.5,119.6
114.9,119.8
114.3,119.9
113.7,120.1
112.6,121.2
111.7,121.9
111.0,122.5
109.7,124.1
108.9,124.9
108.0,126.0
107.4,126.3
106.2,127.7
105.3,128.5
104.3,129.4
103.8,129.3
103.5,129.2
104.0,127.8
105.3,125.4
106.9,122.9
108.4,120.8
109.4,119.9
110.4,119.2
109.3,121.3
108.6,122.3
110.7,118.7
111.5,118.0
112.0,118.1
112.9,117.4
113.8,116.7
114.8,115.7
-10,-10
179.7,57.9
179.7,57.4
179.6,56.6
179.8,56.0
178.8,55.6
179.2,54.8
179.0,54.3
178.6,53.7
178.3,53.2
177.9,52.7
177.3,52.4
176.8,51.8
176.2,51.6
